"title", "artist", "lyrics"
"What's My Name?","Rihanna", "Oh na-na, what's my name? Oh na-na, what's my name? Oh na-na, what's my name? Oh na-na, what's my name? Oh na-na, what's my name? (Uh) What's my name? What's my name? (Yeah) [Verse 1: Drake] I heard you good with them soft lips Yeah, you know, word of mouth The square root of sixty-nine is eight somethin', right? 'Cause I've been tryna work it out, oh Good weed, white wine, uh I come alive in the night time, yeah Okay, away we go Only thing we have on is the radio Let it play Say you gotta leave, but I know you wanna stay You just waitin' on the traffic jam to finish, girl The things that we could do in twenty minutes, girl Say my name, say my name, wear it out It's gettin' hot, crack a window, air it out I can get you through a mighty long day Soon as you go, the text that I write is gon' say [Refrain: Rihanna] Oh na-na, what's my name? Oh na-na, what's my name? Oh na-na, what's my name? What's my name? What's my name? [Verse 2: Rihanna] Not everybody Knows how to work my body Knows how to make me want it But, boy, you stay up on it You got that somethin' That keeps me so off balance Baby, you're a challenge Let's explore your talent [Chorus: Rihanna] Hey, boy, I really wanna see if you Can go downtown with a girl like me Hey, boy, I really wanna be with you 'Cause you just my type Ooh, na, na, na, na I need a boy to take it over Lookin' for a guy to put in work Oh woah, oh woah Hey, boy, I really wanna see if you Can go downtown with a girl like me Hey, boy, I really wanna be with you 'Cause you just my type Ooh, na, na, na, na I need a boy to take it over Lookin' for a guy to put in work Oh woah, oh woah [Refrain: Rihanna] Oh na-na, what's my name? Oh na-na, what's my name? Oh na-na, what's my name? What's my name? What's my name? [Verse 3: Rihanna] Baby, you got me And ain't nowhere that I'd be Than with your arms around me Back and forth, you rock me, yeah So I surrender To every word you whisper Every door you enter I will let you in [Chorus: Rihanna] Hey, boy, I really wanna see if you Can go downtown with a girl like me Hey, boy, I really wanna be with you 'Cause you just my type Ooh, na, na, na, na I need a boy to take it over Lookin' for a guy to put in work Oh woah, oh woah [Bridge: Rihanna] You're so amazing You took the time to figure me out That's why you take me Way past the point of turnin' me on You 'bout to break me I swear you got me losin' my mind [Refrain: Rihanna] Oh na-na, what's my name? Oh na-na, what's my name? Oh na-na, what's my name? Oh na-na, what's my name? Oh na-na, what's my name? What's my name? What's my name? [Chorus: Rihanna] Hey, boy, I really wanna see if you Can go downtown with a girl like me Hey, boy, I really wanna be with you 'Cause you just my type Ooh, na, na, na, na I need a boy to take it over Lookin' for a guy to put in work Oh woah, oh woah Hey, boy, I really wanna see if you Can go downtown with a girl like me Hey, boy, I really wanna be with you 'Cause you just my type Ooh, na, na, na, na I need a boy to take it over Lookin' for a guy to put in work Oh woah, oh woah",
"Yeah 3x","Chris Brown", "Move your body out on the floor Put your troubles aside and start living Anybody can let it go Throw away all your problems 'cause right now it's party time [Refrain] Girl, don't feel outta place 'cause I I'm in love with this feeling now And I, I, I hope that this will last a while We should make it last a while [Pre-Chorus] You love to drink? (Yeah), so do we (Yeah) Get more bottles (Yeah), bring 'em to me (Yeah) Hold your glasses up, people everywhere Now everybody put your hands in the air [Chorus] Say yeah, yeah, yeah Girl, I wanna, yeah, yeah, yeah I wanna see you tonight Yeah, yeah, yeah Girl, I gotta, yeah, yeah, yeah I gotta, I gotta, I gotta see you tonight [Post-Chorus] Oh-oh-oh, oh-woah-oh-oh (Hands) Oh-oh-oh, let me see your hands Oh-oh-oh, oh-woah-oh-oh (Hands) Oh-oh-oh, tonight is the night [Verse 2] Lost in the moment, can't believe You're so beautiful, feels like I'm in a dream Baby, we're going somewhere you never been before So take my hand and come with me [Refrain] Girl, don't feel outta place 'cause I I'm in love with this feeling now And I, I, I hope that this will last a while We should make it last a while [Pre-Chorus] You love to drink? (Yeah, drink), so do we (Yeah) Get more bottles (Yeah), bring 'em to me (Yeah, bring 'em to me) Hold your glasses up (Yeah), people everywhere Now everybody put your hands in the air [Chorus] Say yeah, yeah, yeah (Yeah) Girl, I wanna, yeah, yeah, yeah I wanna see you tonight (Oh, ooh yeah) Yeah, yeah, yeah Girl, I gotta, yeah, yeah, yeah I gotta, I gotta, I gotta see you tonight [Post-Chorus] Oh-oh-oh, oh-woah-oh-oh (Hands, yeah) Oh-oh-oh, let me see your hands Oh-oh-oh, oh-woah-oh-oh (Hands) Oh-oh-oh (Tonight), tonight is the night [Bridge] All the pretty young things in the party, let me see your hands up And if they mad and they don't wanna party, tell 'em shut the fuck up So DJ, turn it loud and watch me turn it up Don't worry 'bout it, we here to party so jump, jump, jump, jump [Chorus] Girl, I wanna I wanna see you tonight Yeah, yeah Girl, I gotta I gotta, I gotta, I gotta see you tonight [Post-Chorus] Yeah, yeah, yeah Yeah, yeah, yeah, I wanna see you tonight Yeah, yeah, yeah Yeah, yeah, yeah, tonight is the night [Outro] Tonight is the night Tonight is the night",
"Without You (feat. Usher)","David Guetta", "I can't win, I can't reign I will never win this game Without you, without you I am lost, I am vain I will never be the same Without you, without you [Verse 2: Usher] I won't run, I won't fly I will never make it by Without you, without you I can't rest, I can't fight All I need is you and I Without you, without you [Chorus: Usher] Oh-oh-oh You, you, you Without... You, you, you Without... you [Verse 3: Usher] Can't erase, so I'll take blame But I can't accept that we're estranged Without you, without you I can't quit now, this can't be right I can't take one more sleepless night Without you, without you I won't soar, I won't climb If you're not here, I'm paralyzed Without you, without you I can't look, I'm so blind I lost my heart, I lost my mind Without you, without you [Chorus: Usher] Oh-oh-oh You, you, you Without... You, you, you Without... you [Outro: Usher] I am lost, I am vain I will never be the same Without you, without you Without you",
"Sexy And I Know It","LMFAO", "Yeah, yeah [Verse 1] When I walk on by, girls be looking like, 'Damn, he fly' I pimp to the beat, walking down the street in my new LaFreak Yeah, this is how I roll, animal print, pants outta control It's Redfoo with the big afro And like Bruce Leroy, I got the glow, yeah [Pre-Chorus] Girl, look at that body Girl, look at that body Girl, look at that body (I-I-I work out) Girl, look at that body Girl, look at that body Girl, look at that body (I-I-I work out) [Chorus] When I walk in the spot (Yeah), this is what I see (Okay) Everybody stops and is staring at me I got passion in my pants and I ain't afraid to show it Show it, show it, show it I'm sexy and I know it I'm sexy and I know it [Verse 2] Yeah When I'm at the mall, security just can't fight 'em all And when I'm at the beach, I'm in a speedo trying to tan my cheeks (What) This is how I roll, come on, ladies, it's time to go We headed to the bar, baby, don't be nervous No shoes, no shirt, and I still get service, watch [Pre-Chorus] Girl, look at that body Girl, look at that body Girl, look at that body (I-I-I work out) Girl, look at that body Girl, look at that body Girl, look at that body (I-I-I work out) [Chorus] When I walk in the spot (Yeah), this is what I see (Okay) Everybody stops and is staring at me I got passion in my pants and I ain't afraid to show it Show it, show it, show it I'm sexy and I know it (Ay) I'm sexy and I know it [Bridge] Check it out, check it out Wiggle, wiggle, wiggle, wiggle, wiggle, yeah Wiggle, wiggle, wiggle, wiggle, wiggle, yeah Wiggle, wiggle, wiggle, wiggle, wiggle, yeah Wiggle, wiggle, wiggle, wiggle, yeah, yeah Do the wiggle, man, I do the wiggle, man Yeah, I'm sexy and I know it Ay, yeah [Pre-Chorus] Girl, look at that body Girl, look at that body Girl, look at that body (I-I-I work out) Girl, look at that body Girl, look at that body Girl, look at that body (I-I-I work out) [Outro] I'm sexy and I know it",
"The Edge Of Glory","Lady Gaga", "There ain't no reason you and me should be alone Tonight, yeah, baby Tonight, yeah, baby But I got a reason that you-hoo should take me home tonight I need a man that thinks it right when it's so wrong Tonight, yeah, baby Tonight, yeah, baby Right on the limit's where we know we both belong, tonight [Pre-Chorus] It's hot to feel the rush To brush the dangerous I'm gonna run right to, to the edge with you Where we can both fall far in love [Chorus] I'm on the edge of glory And I'm hangin' on a moment of truth Out on the edge of glory And I'm hangin' on a moment with you I'm on the edge The edge, the edge, the edge The edge, the edge, the edge I'm on the edge of glory And I'm hangin' on a moment with you I'm on the edge with you [Verse 2] Another shot, before we kiss the other side Tonight, yeah, baby Tonight, yeah, baby I'm on the edge of something final we call life, tonight (Alright! Alright!) Put on your shades, 'cause I'll be dancing in the flames Tonight, yeah, baby Tonight, yeah, baby It isn't hell if everybody knows my name, tonight (Alright! Alright!) [Pre-Chorus] It's hot to feel the rush To brush the dangerous I'm gonna run right to, to the edge with you Where we can both fall far in love [Chorus] I'm on the edge of glory And I'm hangin' on a moment of truth Out on the edge of glory And I'm hangin' on a moment with you I'm on the edge The edge, the edge, the edge The edge, the edge, the edge I'm on the edge of glory And I'm hangin' on a moment with you I'm on the edge with you I'm on the edge with you I'm on the edge with you [Saxophone Solo] [Chorus] I'm on the edge of glory And I'm hangin' on a moment of truth Out on the edge of glory And I'm hangin' on a moment with you I'm on the edge The edge, the edge, the edge The edge, the edge, the edge I'm on the edge of glory And I'm hangin' on a moment with you I'm on the edge with you, with you, with you, with you, with you I'm on the edge with you, with you, with you, with you, with you I'm on the edge with you, with you, with you, with you, with you I'm on the edge with you, with you, with you, with you, with you",
"E.T.","Katy Perry", "You're so hypnotizing Could you be the devil? Could you be an angel? Your touch, magnetizing Feels like I am floating Leaves my body glowing They say be afraid You're not like the others Futuristic lover Different DNA They don't understand you [Pre-Chorus] You're from a whole 'nother world A different dimension You open my eyes And I'm ready to go, lead me into the light [Chorus] Kiss me, ki-ki-kiss me Infect me with your lovin' Fill me with your poison Take me, ta-ta-take me Wanna be your victim Ready for abduction Boy, you're an alien Your touch, so foreign It's supernatural Extraterrestrial [Verse 2] You're so supersonic Wanna feel your powers Stun me with your lasers Your kiss is cosmic Every move is magic [Pre-Chorus] You're from a whole 'nother world A different dimension You open my eyes And I'm ready to go, lead me into the light [Chorus] Kiss me, ki-ki-kiss me Infect me with your lovin' Fill me with your poison Take me, ta-ta-take me Wanna be your victim Ready for abduction Boy, you're an alien Your touch, so foreign It's supernatural Extraterrestrial [Bridge] This is transcendental On another level Boy, you're my lucky star I wanna walk on your wavelength And be there when you vibrate For you, I'll risk it all, all [Chorus] Kiss me, ki-ki-kiss me Infect me with your lovin' Fill me with your poison Take me, ta-ta-take me Wanna be your victim Ready for abduction Boy, you're an alien Your touch, so foreign It's supernatural Extraterrestrial [Outro] Extraterrestrial Extraterrestrial Boy, you're an alien Your touch, so foreign It's supernatural Extraterrestrial",
"Till the World Ends","Britney Spears", "This kitten got your tongue tied in knots, I see Spit it out, 'cause I'm dying for company I notice that you got it, you notice that I want it You know that I can take it to the next level, baby If you want this good -ish, sicker than the remix Baby, let me blow your mind tonight [Pre-Chorus] I can't take it, take it, take no more Never felt like, felt like this before Come on, get me, get me on the floor DJ, what you, what you waiting for? [Chorus] Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh [Verse 2] Watch me move, when I lose, when I lose it hard Get you off with the touch, dancin' in the dark You notice what I'm wearin', I'm noticin' you starin' You know that I can take it to the next level, baby Hotter than the A-list, next one on my hit list Baby, let me blow your mind tonight [Pre-Chorus] I can't take it, take it, take no more Never felt like, felt like this before Come on, get me, get me on the floor DJ, what you, what you waitin' for? [Chorus] Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh [Post-Chorus] See the sunlight, we ain't stoppin' Keep on dancin' 'til the world ends If you feel it, let it happen Keep on dancin' 'til the world ends Keep on dancin' 'til the world ends Keep on dancin' 'til the world ends [Chorus] Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh [Post-Chorus] See the sunlight, we ain't stoppin' Keep on dancin' 'til the world ends If you feel it, let it happen Keep on dancin' 'til the world ends",
"I Wanna Go","Britney Spears", "Lately, I've been stuck imagining What I wanna do and what I really think Time to blow out Be a little inappropriate 'Cause I know that everybody's thinking it When the light's out [Pre-Chorus] Shame on me To need release Un-un-uncontrollably [Chorus] I-I-I wanna go-oh-oh all the way-ay-ay Taking out my freak tonight I-I-I wanna sho-o-ow all the di-i-irt I got running through my mind, woah I-I-I wanna go-oh-oh all the way-ay-ay Taking out my freak tonight I-I-I wanna sho-o-ow all the di-i-irt I got running through my mind, woah [Verse 2] Lately, people got me all tied up There's a countdown waiting for me to erupt Time to blow out I've been told just what to do with it To keep both my hands above the blanket When the light's out [Pre-Chorus] Shame on me To need release Un-un-uncontrollably [Chorus] I-I-I wanna go-oh-oh all the way-ay-ay Taking out my freak tonight I-I-I wanna sho-o-ow all the di-i-irt I got running through my mind, woah I-I-I wanna go-oh-oh all the way-ay-ay Taking out my freak tonight I-I-I wanna sho-o-ow all the di-i-irt I got running through my mind, woah [Breakdown] Sh-sh-sh-sh-sh-sh-shame on me (Shame on me) To need release (To need release) Un-un-un-uncontrollably (Uncontrollably, -lably, -lably, -lably...) [Chorus] I-I-I wanna go-oh-oh (I wanna go...) all the way-ay-ay Taking out my freak tonight I-I-I wanna sho-o-ow (I wanna show...) all the di-i-irt I got running through my mind I-I-I wanna go-oh-oh all the way-ay-ay Taking out my freak tonight I-I-I wanna sho-o-ow all the di-i-irt I got running through my mind, woah",
"Blow","Kesha", "Haha Dance [Verse 1] Back door cracked, we don't need a key We get in for free No VIP sleaze Drink that Kool-Aid, follow my lead Now you're one of us You're comin' with me [Pre-Chorus] It's time to kill the lights and Shut the DJ down (This place about to—) Tonight, we're takin' over No one's getting out [Chorus] This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to— [Verse 2] Now what? (What?) We're taking control We get what we want We do what you don't Dirt and glitter cover the floor We're pretty and sick We're young and we're bored (Ha!) [Pre-Chorus] It's time to lose your mind and Let the crazy out (This place about to—) Tonight, we're takin' names 'cause We don't mess around [Chorus] This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to— [Bridge] Go-go-go-go insane, go insane Throw some glitter, make it rain on 'em Let me see them Hands Let me, let me see them Hands Go insane, go insane Throw some glitter, make it rain on 'em Let me see them Hands Let me, let me see them Hands (C'mon!) We're taking over (Oh-oh-oh-oh-oh-oh-oh) (This place about to blow, oh-oh-oh-oh-oh-oh-oh) Get used to it, okay? (Blow, oh-oh-oh-oh-oh-oh-oh) [Chorus] This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to",
"You And I","Lady Gaga", "It’s been a long time since I came around Been a long time, but I’m back in town This time I'm not leaving without you You taste like whiskey when you kiss me, oh I'd give anything again to be your baby doll This time I'm not leaving without you [Pre-Chorus: Lady Gaga] He said, 'Sit back down where you belong In the corner of my bar with your high heels on Sit back down on the couch where we Made love the first time and you said to me,' There’s... [Chorus: Lady Gaga & (Brian May)] (Something), something about this place (Something), something, ‘bout lonely nights And my lipstick on your face Something, something about my cool Nebraska guy Yeah, there's something about, baby, you and I [Verse 2: Lady Gaga] It’s been two years since I let you go I couldn’t listen to a joke or a Rock and Roll Muscle cars drove a truck right through my heart On my birthday you sang me 'Heart of Gold' With a guitar humming and no clothes This time I’m not leaving without you [Pre-Chorus: Lady Gaga] 'Sit back down where you belong In the corner of my bar with your high heels on Sit back down on the couch where we Made love the first time and you said to me,' There’s... [Chorus: Lady Gaga & (Brian May)] (There's something), something about this place (Something), something, ‘bout lonely nights And my lipstick on your face Something, something about my cool Nebraska guy Yeah, there's something about, baby, you and I [Post-Chorus: Lady Gaga] You and I You, you and I You, you and I You, you and I, I You and I You, you and I Oh yeah, well, I'd rather die Without you and I, I C'mon! Put your drinks up! [Bridge: Lady Gaga] We got a whole lot of money, but we still pay rent 'Cause you can't buy a house in Heaven There's only three men that I'ma serve my whole life It's my daddy, and Nebraska, and Jesus Christ There's... [Chorus: Lady Gaga & (Brian May)] (Something), something, something about the chase Six whole years I'm a New York woman born to run you down Still want my lipstick all over your face Something, something about Just knowing when it's right So put your drinks up, for Nebraska For Nebraska, Nebraska, I love ya [Final Chorus: Lady Gaga & Brian May] You and I You, you and I Baby, I'd rather die Without you and I, I You and I You, you and I Nebraska, I'd rather die Without you and I, I [Outro: Lady Gaga] It's been a long time since I came around Been a long time, but I'm back in town And this time I'm not leaving without you",
"Judas","Lady Gaga", "Woah-woah-woah-woah-woah I'm in love with Juda-as, Juda-as Woah-woah-woah-woah-woah I'm in love with Juda-as, Juda-as [Refrain] Judas, Juda-ah-ah Judas, Juda-ah-ah Judas, Juda-ah-ah Judas, Gaga Judas, Juda-ah-ah Judas, Juda-ah-ah Judas, Juda-ah-ah Judas, Gaga [Verse 1] When he calls to me, I am ready I'll wash his feet with my hair if he needs Forgive him when his tongue lies through his brain Even after three times he betrays me [Pre-Chorus] (Ah-ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah) I'll bring him down, bring him down, down (Ah-ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah) A king with no crown, king with no crown [Chorus] I'm just a Holy Fool, oh baby It's so cruel, but I'm still in love with Judas, baby I'm just a Holy Fool, oh baby It's so cruel, but I'm still in love with Judas, baby Woah-woah-woah-woah-woah I'm in love with Juda-as, Juda-as Woah-woah-woah-woah-woah I'm in love with Juda-as, Juda-as [Refrain] Judas, Juda-ah-ah Judas, Juda-ah-ah Judas, Juda-ah-ah Judas, Gaga [Verse 2] I couldn't love a man so purely Even prophets forgave his goofy way I've learned love is like a brick You can build a house or sink a dead body [Pre-Chorus] (Ah-ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah) I'll bring him down, bring him down, down (Ah-ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah) A king with no crown, king with no crown [Chorus] I'm just a Holy Fool, oh baby It's so cruel, but I'm still in love with Judas, baby I'm just a Holy Fool, oh baby It's so cruel, but I'm still in love with Judas, baby Woah-woah-woah-woah-woah I'm in love with Juda-as, Juda-as Woah-woah-woah-woah-woah I'm in love with Juda-as, Juda-as [Breakdown] Ew... Ew... In the most Biblical sense, I am beyond repentance Fame hooker, prostitute, wench vomits her mind But in the cultural sense, I just speak in future tense Judas, kiss me, if offensed, or wear ear condom next time [Bridge] I wanna love you But something's pulling me away from you Jesus is my virtue, and Judas is the demon I cling to I cling to [Chorus] Just a Holy Fool, oh baby It's so cruel, but I'm still in love with Judas, baby I'm just a Holy Fool, oh baby (Just a Holy Fool, woah-oh-oh-oh) It's so cruel, but I'm still in love with Judas, baby Woah-woah-woah-woah-woah (Woah-oh-oh-oh-oh) I'm in love with Juda-as, Juda-as (Juda-a-a-as) Woah-woah-woah-woah-woah (Woah-oh-oh-oh-oh) I'm in love with Juda-as, Juda-as (Juda-a-a-as) [Outro] Judas, Juda-ah-ah Judas, Juda-ah-ah Judas, Juda-ah-ah Judas, Gaga",
"Tonight (I'm Fuckin' You)","Enrique Iglesias", "You-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh You-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh [Verse 1: Enrique Iglesias] I know you want me I made it obvious that I want you too So put it on me Let's remove the space between me and you Now rock your body, oh-oh Damn, I like the way that you move So give it to me, oh, oh-oh-oh 'Cause I already know what you wanna do [Pre-Chorus: Enrique Iglesias] Here's the situation, been to every nation Nobody's ever made me feel the way that you do You know my motivation, given my reputation Please excuse me, I don't mean to be rude [Chorus: Enrique Iglesias] But tonight I'm fuckin' you Oh-oh, you know-oh, that tonight I'm fuckin' you Oh-oh, you know-oh, that tonight I'm fuckin' you Oh-oh, you know-oh, that tonight I'm fuckin' you Oh-oh, you know-oh [Verse 2: Enrique Iglesias] You're so damn pretty If I had a type, then baby, it would be you I know you're ready If I never lied, then baby, you'd be the truth [Pre-Chorus: Enrique Iglesias] Here's the situation, been to every nation Nobody's ever made me feel the way that you do You know my motivation, given my reputation Please excuse me, I don't mean to be rude [Chorus: Enrique Iglesias] But tonight I'm fuckin' you Oh-oh, you know-oh, that tonight I'm fuckin' you Oh-oh, you know-oh, that tonight I'm fuckin' you Oh-oh, you know-oh, that tonight I'm fuckin' you Oh-oh, you know-oh [Verse 3: Ludacris] (Hah! Luda) Tonight I'm, gonna do (Gonna do) Everything that I want with you (With you) Everything that you need, everything that you want I wanna honey, I wanna stunt with you (You) From the window to the wall, gotta give you my all (My all) Winter and the summertime When I get you on the springs, I'ma make you fall (Make you fall) You got that body that make me wanna get up on the floor just to see you dance (Dance) And I love the way you shake that ass Turn around and let me see them pants (Pants) You stuck with me, I'm stuck with you Let's find something to do (Do) Please excuse me, I don't mean to be rude [Chorus: Enrique Iglesias] But tonight I'm fuckin' you Oh-oh, you know-oh, that tonight I'm fuckin' you Oh-oh, you know-oh, that tonight I'm fuckin' you Oh-oh, you know-oh, that tonight I'm fuckin' you Oh-oh, you know-oh [Outro: Enrique Iglesias] That tonight I'm fuckin' you Yeah, tonight I'm fuckin' you Yeah",
"Please Don't Go","Mike Posner", "Let's run away from these lies Back to yesterday, safe tonight [Pre-Chorus] I feel the sun creepin' up like tick tock I'm tryna keep you in my head, but if not We'll just keep runnin' from tomorrow with our lips locked Yeah, you got me beggin', beggin' [Chorus] Baby, please don't go If I wake up tomorrow, will you still be here? I don't know if you feel the way I do If you leave, I'm gon' find you Baby, please don't go, go, go, go Baby, please don't go, go, go, go Baby, please don't go, go, go, go Baby, please don't, baby, please don't [Verse 2] Baby, please don't run away From my bed and start another day Stay instead [Pre-Chorus] I feel the sun creepin' up like tick tock I'm tryna keep you in my head, but if not We'll just keep runnin' from tomorrow with our lips locked Yeah, you got me beggin', beggin' [Chorus] Baby, please don't go If I wake up tomorrow, will you still be here? I don't know if you feel the way I do If you leave, I'm gon' find you Baby, please don't go, go, go, go Baby, please don't go, go, go, go Baby, please don't go, go, go, go Baby, please don't, baby, please don't Baby, please don't [Bridge] I stay runnin' from tomorrow I stay runnin' from tomorrow Well, I stay runnin' from tomorrow Said, 'I stay runnin' from tomorrow' Oh [Chorus] Baby, please don't go (Please don't go) If I wake up tomorrow, will you still be here? I don't know if you feel the way I do If you leave (I'm gon', I'm gon', I'm gonna find you) I'm gon' find you Baby, please don't go, go, go, go Baby, please don't go, go, go, go (Don't leave me, leave me) Baby, please don't go, go, go, go Baby, please don't, baby, please don't Baby, please don't run away",
"We Found Love","Rihanna", "Yellow diamonds in the light And we're standing side by side As your shadow crosses mine What it takes to come alive [Pre-Chorus: Rihanna] It's the way I'm feeling, I just can't deny But I've gotta let it go [Chorus: Rihanna] We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place [Verse 2: Rihanna] Shine a light through an open door Love and life, I will divide Turn away 'cause I need you more Feel the heartbeat in my mind [Pre-Chorus: Rihanna] It's the way I'm feeling, I just can't deny But I've gotta let it go [Chorus: Rihanna] We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place [Bridge: Rihanna] Yellow diamonds in the light And we're standing side by side As your shadow crosses mine [Chorus: Rihanna] We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place [Chorus: Rihanna] We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place",
"Marry The Night","Lady Gaga", "I'm gonna marry the night, I won’t give up on my life I'm a warrior queen, live passionately tonight I'm gonna marry the dark, gonna make love to the stark I'm a soldier to my own emptiness, I'm a winner I'm gonna marry the night, I'm gonna marry the night I'm gonna marry the night [Chorus 1] I'm gonna marry the night I'm not gonna cry anymore I'm gonna marry the night Leave nothing on these streets to explore [Post-Chorus] Ma-ma-ma-marry, ma-ma-ma-marry Ma-ma-ma-marry the night Oh, ma-ma-ma-marry, ma-ma-ma-marry Ma-ma-ma-marry the night [Verse 2] I'm gonna lace up my boots, throw on some leather and cruise Down the streets that I love, in my fishnet gloves, I'm a sinner Then I'll go down to the bar, but I won't cry anymore I'll hold my whiskey up high, kiss the bartender twice, I'm a loser I'm gonna marry the night I'm gonna marry the night [Chorus 1] I'm gonna marry the night I'm not gonna cry anymore I'm gonna marry the night Leave nothing on these streets to explore [Post-Chorus] Ma-ma-ma-marry, ma-ma-ma-marry Ma-ma-ma-marry the night Oh, ma-ma-ma-marry, ma-ma-ma-marry Ma-ma-ma-marry the night [Bridge] Nothing's too cool to take me from you New York is not just a tan that you never lose Love is the new denim or black Skeleton guns are wedding bells in the attic Get Ginger ready, climb to El Camino front Won't poke holes in the seat with my heels 'Cause that's where we make love Come on and run Turn the car on and run [Chorus 2] I'm gonna marry the night (The night) I'm gonna burn a hole in the road I'm gonna marry the night (The night) Leave nothing on these streets to explore [Post-Chorus] Ma-ma-ma-marry, ma-ma-ma-marry (Marry) Ma-ma-ma-marry the night (The night) Oh, ma-ma-ma-marry, ma-ma-ma-marry (Marry, marry) Ma-ma-ma-marry the night (The night) Oh, ma-ma-ma-marry, ma-ma-ma-marry Ma-ma-ma-marry the night [Outro] I'm gonna marry, marry I'm gonna marry, marry C'mon, c'mon The night, the night, the night (Gonna, g-gonna, gonna, g-gonna, gonna, g-gonna) The night, the night, the night (Gonna, g-gonna, gonna, g-gonna, gonna, g-gonna) The night, the night, the night, the night (Gonna, g-gonna, gonna, g-gonna, gonna, g-gonna, gonna, g-gonna) The night, the night, the night, the night (Gonna, g-gonna, gonna, g-gonna, gonna, g-gonna, gonna, g-gonna) The night, the night, the night (Gonna, g-gonna, gonna, g-gonna)",
"1+1","Beyoncé", "If I ain't got nothing, I got you If I ain't got something, I don't give a damn 'Cause I got it with you I don't know much about algebra, but I know 1+1 equals 2 And it's me and you That's all we'll have when the world is through [Chorus 1] 'Cause baby, we ain't got nothing without love Darling, you got enough for the both of us So come on, baby, make love to me [Post-Chorus 1] When my days look low Pull me in close and don't let me go, make love to me So when the world's at war, let our love heal us all Right now, baby, make love to me We, me, me, me Oh, make love to me [Verse 2] Hey, I don't know much about guns, but I I've been shot by you, hey And I don't know when I'm gon' die, but I hope That I'm gon' die by you, hey And I don't know much about fighting, but I I know I will fight for you, hey Just when I ball up my fist, I realize That I'm laying right next to you [Chorus 2] Baby, we ain't got nothing but love And darling, you got enough for the both of us Ooh, make love to me [Post-Chorus 2] When my days look low Pull me in close and don't let me go, make love to me So when the world's at war, let our love heal us all Help me let down my guard Make love to me, me, me, me, me Oh, oh, make love to me, me, me, me, me",
